"REF_DATE","GEO","DGUID","Gender","Type of migrant","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016/2017","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","703","","","","0"
"2017/2018","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","857","","","","0"
"2018/2019","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","827","","","","0"
"2019/2020","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","349","","","","0"
"2020/2021","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","95","","","","0"
"2021/2022","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","730","","","","0"
"2022/2023","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","966","","","","0"
"2023/2024","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","839","","","","0"
"2024/2025","Canada","2021A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","698","","","","0"
"2000/2001","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","19782","","","","0"
"2001/2002","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","20010","","","","0"
"2002/2003","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","15886","","","","0"
"2003/2004","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","17988","","","","0"
"2004/2005","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","18881","","","","0"
"2005/2006","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","18093","","","","0"
"2006/2007","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","16526","","","","0"
"2007/2008","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","17538","","","","0"
"2008/2009","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","16790","","","","0"
"2009/2010","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","19690","","","","0"
"2010/2011","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","20532","","","","0"
"2011/2012","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","18938","","","","0"
"2012/2013","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","18983","","","","0"
"2013/2014","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","17650","","","","0"
"2014/2015","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","15888","","","","0"
"2015/2016","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","26173","","","","0"
"2016/2017","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","18587","","","","0"
"2017/2018","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","20122","","","","0"
"2018/2019","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","21136","","","","0"
"2019/2020","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","18510","","","","0"
"2020/2021","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","9904","","","","0"
"2021/2022","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","21158","","","","0"
"2022/2023","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","27071","","","","0"
"2023/2024","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","26694","","","","0"
"2024/2025","Canada","2021A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","24561","","","","0"
"2000/2001","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","19948","","","","0"
"2001/2002","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","19506","","","","0"
"2002/2003","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","14647","","","","0"
"2003/2004","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","17230","","","","0"
"2004/2005","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","18816","","","","0"
"2005/2006","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","18583","","","","0"
"2006/2007","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","16417","","","","0"
"2007/2008","Canada","2021A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","17280","","","","0"
